"CURA SLX",1996,1999,"16 X 7,12 X 1.5,108"
"GMC CANYON SL, SLE, SLT, ZQ8",2004,2008,"12 X 1.5,108.0"
"GMC CENSOR SLE",2008,2008,"12 X 1.5,108.0"
"GMC COLORADO/CANYON",0,2004,"12 X 1.5,100.7"
"CHEVROLET CANYON SL, SLE, SLT, ZQ8",2004,2008,"12 X 1.5,108.0"
"CHEVROLET CENSOR SLE",2008,2008,"12 X 1.5,108.0"
"CHEVROLET COLORADO/CANYON",0,2004,"12 X 1.5,100.7"
"DODGE D-50 RAM-50, TURBO DIESEL",1979,1993,"15 X 6,12 X 1.5,108"
"DODGE RAIDER",1986,1989,"15 X 6,12 X 1.5,108"
"FORD COURIER PICKUP",1977,1984,"14 X 6,12 X 1.5,108.0"
"HONDA PASSPORT",1994,2003,"15 X 6,12 X 1.5,108"
"HUMMER H3, H3X, H3 ALPHA, BASE, LUXURY",2006,2008,"12 X 1.5,100.0"
"HYUNDAI ENTOURAGE",2007,2008,"12 X 1.5,95.3"
"INFINITI QX4",0,1996,"16 X 7,12 X 1.25,108"
"INFINITI QX4",1996,2003,"12 X 1.25,108.0"
"INFINITI QX56",0,2004,"12 X 1.25,77.8"
"INFINITI QX56",2004,2008,"12 X 1.25,77.8"
"ISUZU AMIGO",1989,2000,"15 X 6,12 X 1.5,108.0"
"ISUZU AXIOM",0,2002,"16 X 7,12 X 1.5,108"
"ISUZU AXIOM",2002,2004,"12 X 1.5,108.0"
"ISUZU I-280, I-290, I-350, I-370",2006,2008,"12 X 1.5,100.0"
"ISUZU PICKUP",1980,1996,"14 X 6,12 X 1.5,108.0"
"ISUZU RODEO, RODEO SPORT",0,1991,"15 X 7,12 X 1.5,108"
"ISUZU RODEO, RODEO SPORT",1991,2004,"12 X 1.5,108.0"
"ISUZU TROOPER",1992,2003,"12 X 1.5,108.0"
"ISUZU TROOPER",1992,1996,"16 X 7,12 X 1.5,108"
"ISUZU TROOPER II",1984,1991,"15 X 6,12 X 1.5,108.0"
"ISUZU VEHICROSS",0,1999,"16 X 7,12 X 1.5,108.0"
"KIA SEDONA LX, EX",2006,2008,"12 X 1.5,92.3"
"LEXUS GX 470",2003,2008,"12 X 1.5,108.0"
"LEXUS GX470",0,2003,"16 X 8,12 X 1.5,108"
"LEXUS LX 450",1996,1997,"16 X 8,12 X 1.5,108.0"
"MAZDA 2600 PICKUP",1977,1993,"14 X 6,12 X 1.5,108"
"MAZDA B-2000, 2200, 2300,",1977,1993,"14 X 6,12 X 1.5,108"
"MAZDA SE-5 OPT.15",1977,1993,"15 X 6,12 X 1.5,108"
"MITSUBISHI MONTERO",1983,2000,"15 X 6,12 X 1.5,108.0"
"MITSUBISHI MONTERO",1992,2006,"12 X 1.5,108.0"
"MITSUBISHI MONTERO",0,2001,"15 X 6,12 X 1.5,67.1"
"MITSUBISHI MONTERO SPORT",0,1992,"15 X 6,12 X 1.5,108"
"MITSUBISHI MONTERO SPORT",1992,2004,"12 X 1.5,108.0"
"MITSUBISHI PICKUP",1983,1996,"14 X 6,12 X 1.5,108.0"
"NISSAN PICKUP FRONTIER",1987,1996,"15 X 6,12 X 1.25,100.0"
"NISSAN  PICKUP FRONTIER",1987,1996,"15 X 6,12 X 1.25,100.0"
"NISSAN ARMADA",0,2004,"16 X 7,12 X 1.25,78"
"NISSAN ARMADA",2004,2008,"12 X 1.25,77.8"
"NISSAN FRONTIER",0,1998,"15 X 6,12 X 1.25,100"
"NISSAN FRONTIER, SC, SE, SVE, XE",1998,2004,"12 X 1.25,100.0"
"NISSAN PATHFINDER",1987,2004,"15 X 6/16 X 7,12 X 1.25,100"
"NISSAN PATHFINDER",1987,2004,"12 X 1.25,100.0"
"NISSAN PATHFINDER ARMADA",0,2004,"12 X 1.25,100.0"
"NISSAN PICKUP",1973,1986,"14 X 6,12 X 1.25,100"
"NISSAN PICKUP",1973,1986,"12 X 1.25,100.0"
"NISSAN TITAN",0,2004,"17/18 X 6,12 X 1.25,78"
"NISSAN TITAN LE, SE, XE, LE, W, TITAN PRO 4X",2004,2008,"12 X 1.25,78.1"
"NISSAN XTERRA",0,2000,"16 X 7,12 X 1.25,100.0"
"NISSAN XTERRA",2000,2004,"12 X 1.25,100.0"
"PLYMOUTH ARROW P/U",1979,1982,"14 X 6,12 X 1.5"
"TOYOTA 4-RUNNER",1986,2002,"16 X 7,12 X 1.5,106"
"TOYOTA 4-RUNNER",0,2003,"16 X 7,12 X 1.5,106"
"TOYOTA 4-RUNNER",2003,2008,"12 X 1.5,106.0"
"TOYOTA FJ CRUISER",2007,2008,"12 X 1.5,108.0"
"TOYOTA LANDCRUISER",1969,1992,"15 X 6,12 X 1.5,106.0"
"TOYOTA LANDCRUISER",1993,1997,"16 X 8,12 X 1.5,106.0"
"TOYOTA PICKUP, 4 RUNNER",1980,1995,"15 X 7,12 X 1.5,106.0"
"TOYOTA SEQUOIA",0,2001,"16 X 7,12 X 1.5,106"
"TOYOTA SEQUOIA",2001,2007,"12 X 1.5,108.0"
"TOYOTA T-100",1993,1996,"15 X 6,12 X 1.5,106.0"
"TOYOTA TACOMA, W, OE 16″",2005,2008,"12 X 1.5,106.0"
"TOYOTA TACOMA  PRE-RUNNER",1995,2004,"12 X 1.5,106.0"
"TOYOTA TACOMA  PRE-RUNNER",0,1995,"15 X 7,12 X 1.5,106"
"TOYOTA TUNDRA",0,1999,"16 X 7,12 X 1.5,106"
"TOYOTA TUNDRA",1999,2006,"12 X 1.5,106.0"
